symbol,name,sector,market_cap,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,enterprise_value,ev_to_ebitda,ev_to_revenue,profit_margin,operating_margin,gross_margin,roe,roa,revenue_growth,earnings_growth,earnings_quarterly_growth,current_ratio,quick_ratio,debt_to_equity,total_debt,total_cash,free_cash_flow,dividend_yield,payout_ratio,current_price,52_week_high,52_week_low,beta,target_mean_price,recommendation,analyst_count,pct_from_high,pct_from_low,upside_potential
HDFCBANK.NS,HDFC Bank,Financial Services,14095843590144,20.815723,16.185513,0,2.4956346,4.954026,19196941434880,0.0,6.747,0.26187,0.34794998,0.0,0.14015001,0.01749,0.264,0.115,0.122,0.0,0.0,0.0,6158335082496,1275910160384,0,1.2,0.2218,916.1,1020.5,813.0,0.463,1157.4359,strong_buy,39,-10.23027927486526,12.681426814268146,26.343838008950982
ICICIBANK.NS,ICICI Bank,Financial Services,9608258125824,18.35246,16.898825,0,2.7549238,4.9920745,10137555173376,0.0,5.267,0.27513,0.33972,0.0,0.16798,0.02142,0.03,-0.037,-0.027,0.0,0.0,0.0,2154355490816,1793773404160,0,0.82,0.15020001,1343.4,1500.0,1193.1,0.203,1703.375,strong_buy,40,-10.439999999999994,12.59743525270306,26.795816584784866
KOTAKBANK.NS,Kotak Mahindra Bank,Financial Services,4204954124288,22.609625,19.475254,0,2.5017307,5.780894,4391583875072,0.0,6.037,0.25536,0.36106,0.0,0.1178,0.02162,-0.124,-0.114,-0.114,0.0,0.0,0.0,827000291328,639209373696,0,0.12,0.026800001,422.8,460.38,372.55,0.175,543.7611,buy,36,-8.162822016594983,13.488122399677897,28.6095316934721
AXISBANK.NS,Axis Bank,Financial Services,3906552725504,15.064064,11.648149,0,1.9556513,5.155256,5445706055680,0.0,7.186,0.34296,0.41287,0.0,0.14004,0.01592,-0.06,-0.255,-0.253,0.0,0.0,0.0,2408414969856,872181923840,0,0.08,0.012,1258.0,1327.0,933.5,0.313,1408.225,buy,40,-5.1996985681989445,34.761649705409745,11.941573926868038
SBIN.NS,State Bank of India,Financial Services,9502921326592,11.445248,11.494254,0,1.6691933,2.6604316,12065648410624,0.0,3.378,0.22619,0.28039,0.0,0.15675999,0.011460001,0.081,0.029,0.068,0.0,0.0,0.0,6503032946688,4136434401280,0,1.52,0.1769,1029.5,1055.5,680.0,0.259,1112.3077,strong_buy,39,-2.46328754144955,51.397058823529406,8.043487129674606
INDUSINDBK.NS,IndusInd Bank,Financial Services,695286366208,16.007998,16.007998,0,1.0682689,4.473947,758509338624,0.0,4.881,-0.048860002,-0.17025,0.0,-0.01161,-0.0014200001,-0.4,0.0,0.0,0.0,0.0,0.0,453502992384,397778616320,0,0.0,0.0,892.45,1086.55,606.0,0.226,786.7027,underperform,37,-17.863881091528224,47.268976897689775,-11.849100789960222
BAJFINANCE.NS,Bajaj Finance,Financial Services,5767835942912,31.538069,22.439228,0,5.5831347,14.192755,8935034585088,0.0,21.986,0.45033002,0.60591,0.92574996,0.1909,0.0399,0.206,0.214,0.219,6.34,6.34,310.294,3276648742912,128014401536,0,0.47,0.1495,927.85,1102.5,726.0,0.153,1089.0607,buy,33,-15.84126984126984,27.803030303030308,17.37465107506601
BAJAJFINSV.NS,Bajaj Finserv,Financial Services,3113522036736,32.488747,24.133068,0,4.0553474,2.235608,6861461389312,12.995,4.927,0.069510005,0.37335,0.507,0.15100999,0.0499,0.111,0.069,0.075,2.17,2.077,237.537,3224357830656,127543697408,157416685568,0.05,0.0167,1949.0,2195.0,1617.0,0.262,2235.9333,buy,15,-11.207289293849659,20.531849103277676,14.722077988712169
HDFCLIFE.NS,HDFC Life Insurance,Financial Services,1536053739520,81.19726,64.05695,0,8.721372,1.4748023,1588144898048,72.21,1.525,0.01815,0.01507,0.09639,0.11316,0.0036700002,0.704,-0.01,-0.007,0.913,0.069,17.607,30990000128,5884100096,0,0.29,0.23969999,712.1,820.75,595.25,0.55,888.6857,strong_buy,35,-13.237892171794089,19.630407391852167,24.797879511304586
SBILIFE.NS,SBI Life Insurance,Financial Services,2008266964992,81.83899,60.943417,0,10.980611,1.9308642,2011182530560,72.644,1.934,0.02359,0.02305,0.086940005,0.14199,0.0035899999,-0.428,-0.066,-0.066,1.168,0.252,0.0,0,17338699776,32364961792,0.13,0.1104,2002.6,2109.6,1372.55,0.341,2240.5881,strong_buy,34,-5.072051573758059,45.90361006884995,11.8839558573854
